PurchaseID, Supplier          , Last Visited,ReturnStatus, Warranty (Months), Purchase Date, Return Policy (Days), Feedback, OrderID 
33,HeightRight Equipment, 10/06/2023   ,Not Returned,24, 08/18/2023   ,25, Wont Recommend       ,1057
34,EarthyPottery Inc., 10/09/2023   ,Returned,24, 08/20/2023   ,20, Will Recommend       ,1058
35,Luminaire Designs, 10/10/2023   ,Not Returned,36, 08/21/2023   ,30, Neutral              ,1059
36,FlameFront Co., 10/11/2023   ,Not Returned,18, 08/22/2023   ,15, Wont Recommend       ,1060
37,TimberLine Furniture, 10/09/2023   ,Not Returned,24, 08/23/2023   ,15, Will Recommend       ,1061
38,SafeGuard Tech, 10/10/2023   ,Returned,18, 08/24/2023   ,10, Neutral              ,1062
39,WindowWonders Ltd., 10/11/2023   ,Not Returned,12, 08/25/2023   ,14, Wont Recommend       ,1063
40,PlushThreads Textiles, 10/12/2023   ,Not Returned,18, 08/26/2023   ,20, Will Recommend       ,1064
41,Botanica Ltd., 10/06/2023   ,Not Returned,24, 08/18/2023   ,30, Neutral              ,1065
42,Illumina Designs, 10/14/2023   ,Returned,18, 08/28/2023   ,25, Wont Recommend       ,1066
43,CulinaryCraft Co., 10/13/2023   ,Not Returned,36, 08/29/2023   ,30, Neutral              ,1067
44,WeaveWorks Ltd., 10/12/2023   ,Not Returned,24, 08/30/2023   ,15, Will Recommend       ,1068
45,GardenGizmos Inc., 10/15/2023   ,Not Returned,24, 08/31/2023   ,20, Neutral              ,1069
46,StoneScape Creations, 10/13/2023   ,Returned,24, 08/27/2023   ,14, Will Recommend       ,1070
47,CleanTech Innovations, 10/17/2023   ,Not Returned,12, 09/01/2023   ,10, Wont Recommend       ,1071
48,FurnishFinely Co., 10/18/2023   ,Not Returned,12, 09/02/2023   ,15, Neutral              ,1072
49,AquaHeat Solutions, 10/11/2023   ,Not Returned,18, 08/22/2023   ,10, Will Recommend       ,1073
50,DiningDeluxe Ltd., 10/19/2023   ,Returned,12, 09/03/2023   ,14, Wont Recommend       ,1074
51,FabricFocus Textiles, 10/13/2023   ,Not Returned,12, 08/29/2023   ,30, Will Recommend       ,1075
52,EarthyGrow Co., 10/20/2023   ,Not Returned,24, 09/04/2023   ,25, Neutral              ,1076
53,ComfortCraft Furniture, 10/14/2023   ,Not Returned,18, 09/05/2023   ,20, Wont Recommend       ,1077
54,TerraTile Suppliers, 10/21/2023   ,Returned,12, 09/06/2023   ,15, Neutral              ,1078
